instance,vertices,edges,partitions,status,colors,runtime_s,gap
ring_n10p0.1s1,8,11,4,optimal,2,0.009,0.0000
ring_n10p0.1s2,16,45,8,optimal,2,0.023,0.0000
ring_n10p0.1s3,16,44,8,optimal,2,0.022,0.0000
ring_n10p0.1s4,28,149,14,optimal,3,0.115,0.0000
ring_n10p0.1s5,20,69,10,optimal,3,0.038,0.0000
ring_n10p0.2s1,26,124,13,optimal,3,0.086,0.0000
ring_n10p0.2s2,36,230,18,optimal,3,0.301,0.0000
ring_n10p0.2s3,30,168,15,optimal,4,0.154,0.0000
ring_n10p0.2s4,42,337,21,optimal,4,0.652,0.0000
ring_n10p0.2s5,44,355,22,optimal,5,0.819,0.0000
ring_n10p0.3s1,38,270,19,optimal,4,0.305,0.0000
ring_n10p0.3s2,54,540,27,optimal,5,1.639,0.0000
ring_n10p0.3s3,42,330,21,optimal,4,0.731,0.0000
ring_n10p0.3s4,52,519,26,optimal,5,1.388,0.0000
ring_n10p0.3s5,62,727,31,optimal,6,2.697,0.0000
ring_n10p0.4s1,56,593,28,optimal,5,1.607,0.0000
ring_n10p0.4s2,72,979,36,optimal,6,4.091,0.0000
ring_n10p0.4s3,60,688,30,optimal,5,2.651,0.0000
ring_n10p0.4s4,68,888,34,optimal,6,4.012,0.0000
ring_n10p0.4s5,82,1283,41,optimal,7,7.963,0.0000
ring_n10p0.5s1,76,1099,38,optimal,7,5.275,0.0000
ring_n10p0.5s2,94,1700,47,optimal,8,14.480,0.0000
ring_n10p0.5s3,78,1179,39,optimal,7,6.068,0.0000
ring_n10p0.5s4,76,1114,38,optimal,7,6.248,0.0000
ring_n10p0.5s5,92,1621,46,optimal,8,9.025,0.0000
ring_n10p0.6s1,98,1837,49,optimal,8,16.543,0.0000
ring_n10p0.6s2,106,2170,53,optimal,9,23.548,0.0000
ring_n10p0.6s3,102,2027,51,optimal,10,22.431,0.0000
ring_n10p0.6s4,104,2084,52,optimal,8,30.412,0.0000
ring_n10p0.6s5,102,2002,51,optimal,9,23.089,0.0000
ring_n10p0.7s1,122,2865,61,optimal,9,44.323,0.0000
ring_n10p0.7s2,138,3719,69,feasible,36,301.235,0.9324
ring_n10p0.7s3,130,3288,65,optimal,10,111.514,0.0000
ring_n10p0.7s4,132,3388,66,optimal,11,91.101,0.0000
ring_n10p0.7s5,114,2510,57,optimal,9,39.291,0.0000
ring_n10p0.8s1,146,4148,73,feasible,36,301.421,0.9583
ring_n10p0.8s2,152,4529,76,feasible,37,301.604,0.9600
ring_n10p0.8s3,144,4043,72,feasible,35,301.370,0.9569
ring_n10p0.8s4,146,4160,73,feasible,38,301.416,0.9173
ring_n10p0.8s5,138,3716,69,feasible,37,301.212,0.9440
ring_n10p0.9s1,162,5144,81,feasible,39,301.947,0.9621
ring_n10p0.9s2,164,5278,82,feasible,41,302.014,0.9657
ring_n10p0.9s3,166,5396,83,feasible,42,302.099,0.9666
ring_n10p0.9s4,164,5255,82,feasible,42,302.040,0.9708
ring_n10p0.9s5,166,5414,83,feasible,41,302.064,0.9642
ring_n10p1.0s1,180,6360,90,feasible,39,302.696,0.9650
ring_n10p1.0s2,180,6360,90,feasible,39,302.655,0.9650
ring_n10p1.0s3,180,6360,90,feasible,39,302.680,0.9650
ring_n10p1.0s4,180,6360,90,feasible,39,302.688,0.9650
ring_n10p1.0s5,180,6360,90,feasible,39,302.678,0.9650
ring_n15p0.1s1,30,164,15,optimal,4,0.143,0.0000
ring_n15p0.1s2,38,268,19,optimal,4,0.311,0.0000
ring_n15p0.1s3,52,543,26,optimal,6,1.444,0.0000
ring_n15p0.1s4,62,757,31,optimal,8,2.918,0.0000
ring_n15p0.1s5,54,557,27,optimal,6,1.613,0.0000
ring_n15p0.2s1,74,1081,37,optimal,7,5.668,0.0000
ring_n15p0.2s2,100,1954,50,optimal,8,20.488,0.0000
ring_n15p0.2s3,90,1620,45,optimal,9,13.252,0.0000
ring_n15p0.2s4,94,1764,47,optimal,9,18.417,0.0000
ring_n15p0.2s5,106,2198,53,optimal,10,25.766,0.0000
ring_n15p0.3s1,116,2681,58,optimal,11,50.288,0.0000
ring_n15p0.3s2,146,4251,73,feasible,44,301.469,0.9545
ring_n15p0.3s3,130,3365,65,optimal,13,109.106,0.0000
ring_n15p0.3s4,140,3900,70,feasible,39,301.282,0.9354
ring_n15p0.3s5,150,4450,75,feasible,34,301.532,0.9560
ring_n15p0.4s1,162,5262,81,feasible,46,301.963,0.9523
ring_n15p0.4s2,188,7005,94,feasible,47,303.070,0.9745
ring_n15p0.4s3,164,5402,82,feasible,41,302.045,0.9697
ring_n15p0.4s4,180,6459,90,feasible,50,302.721,0.9749
ring_n15p0.4s5,196,7663,98,feasible,45,303.519,0.9675
ring_n15p0.5s1,208,8656,104,feasible,58,304.209,0.9655
ring_n15p0.5s2,226,10167,113,feasible,52,305.394,0.9716
ring_n15p0.5s3,208,8724,104,feasible,51,304.262,0.9757
ring_n15p0.5s4,210,8869,105,feasible,55,304.412,0.9727
ring_n15p0.5s5,226,10168,113,feasible,53,305.266,0.9722
ring_n15p0.6s1,250,12442,125,feasible,67,307.209,0.9925
ring_n15p0.6s2,258,13266,129,feasible,63,308.455,0.9921
ring_n15p0.6s3,258,13400,129,feasible,63,308.162,0.9921
ring_n15p0.6s4,260,13594,130,feasible,66,308.329,0.9924
ring_n15p0.6s5,252,12682,126,feasible,60,307.500,0.9917
ring_n15p0.7s1,288,16601,144,feasible,75,311.265,0.9933
ring_n15p0.7s2,330,21756,165,feasible,80,316.532,
ring_n15p0.7s3,306,18821,153,feasible,76,313.648,0.9934
ring_n15p0.7s4,310,19300,155,feasible,76,313.860,0.9934
ring_n15p0.7s5,282,15985,141,feasible,66,310.687,0.9812
ring_n15p0.8s1,336,22658,168,feasible,84,318.122,
ring_n15p0.8s2,352,24773,176,timeout,,308.756,
ring_n15p0.8s3,338,22942,169,timeout,,289.310,
